date,time,corrected_area,calculated_area
30-11-1991,"02:21:00,03:04:00",0.028,0.030388172
01-12-1991,02:52:00,0.03,0.025276299
02-12-1991,02:53:00,0.029,0.023292355
04-12-1991,"02:58:00,02:43:00",0.029,0.032745685
05-12-1991,02:39:00,0.016,0.019199963
07-12-1991,"04:17:00,02:17:00",0.03,0.033143106
08-12-1991,03:00:00,0.033,0.040528184
09-12-1991,"03:11:00,02:33:00",0.033,0.024842939
11-12-1991,03:49:00,0.037,0.029809545
20-12-1991,02:32:00,0.032,0.029072854
21-12-1991,02:40:00,0.03,0.021827198
24-12-1991,02:52:00,0.034,0.013957814
26-12-1991,"04:34:00,04:49:00",0.036,0.020423764
27-12-1991,04:18:00,0.035,0.019873904
28-12-1991,03:35:00,0.029,0.036195245
30-12-1991,02:50:00,0.043,0.025730868
02-01-1992,02:41:00,0.04,0.034069524
03-01-1992,02:55:00,0.034,0.030506308
05-01-1992,06:45:00,0.031,0.037130785
07-01-1992,02:49:00,0.032,0.025674292
09-01-1992,02:34:00,0.048,0.033834557
12-01-1992,02:28:00,0.036,0.029080857
13-01-1992,04:10:00,0.03,0.037417643
14-01-1992,02:46:00,0.031,0.032759949
15-01-1992,02:49:00,0.029,0.019659793
16-01-1992,02:44:00,0.025,0.029398202
17-01-1992,06:09:00,0.023,0.03045472
19-01-1992,"03:16:00,04:42:00",0.033,0.026530909
20-01-1992,03:30:00,0.034,0.032437373
22-01-1992,02:34:00,0.034,0.031705419
24-01-1992,02:44:00,0.032,0.033765788
25-01-1992,03:29:00,0.032,0.036799147
26-01-1992,02:55:00,0.034,0.029365912
27-01-1992,03:10:00,0.036,0.043882531
28-01-1992,03:03:00,0.041,0.036314955
29-01-1992,02:44:00,0.041,0.045645249
31-01-1992,04:59:00,0.04,0.027238129
02-02-1992,"03:24:00,04:39:00",0.032,0.025452078
04-02-1992,04:52:00,0.038,0.033257314
06-02-1992,04:45:00,0.03,0.038667833
07-02-1992,"04:44:00,05:53:00,03:40:00",0.033,0.024849123
08-02-1992,02:25:00,0.041,0.019620424
09-02-1992,03:24:00,0.026,0.01273755
11-02-1992,02:27:00,0.033,0.026019087
12-02-1992,02:43:00,0.018,0.020418627
13-02-1992,"02:41:00,03:07:00",0.03,0.02442757
14-02-1992,02:44:00,0.027,0.022769861
19-02-1992,02:53:00,0.028,0.024774082
21-02-1992,"06:37:00,02:12:00,04:22:00",0.038,0.036141707
22-02-1992,02:52:00,0.053,0.042408169
23-02-1992,03:05:00,0.044,0.040756931
24-02-1992,"02:58:00,04:22:00",0.067,0.038361924
25-02-1992,07:07:00,0.058,0.038357548
